"Serial Number",SKU,EAN,Description,"Sold Qty",Package,"Package Unit","Target Quantity","Main Unit",Category
287,FE021P,FE021P,"FE021P Spray Gun 500mL x1",2005,1,pc,151.00,pc,non_food
288,SS1255P,4800250000000,"Bingo Corned Beef 150g x1",,,,,pc,food
290,P2391P,4902430452779,"P2391P Downy Garden Bloom 750mL x1",648,8,pc,7.00,case,non_food
291,0562P,4800040000000,"0562P Fibisco Butter Cookies 600g x1",,,,,pc,food
292,SS1318P,4902430867290,"SS1318P Joy Dishwashing Liquid Lemon Bottle 475mL x1",704,24,pc,3.00,case,non_food
293,2112P,4800047841705,"2112P Zonrox Color Safe Bleach 900mL x1",1435,24,pc,5.00,case,non_food
294,P1549P,4800047847370,"P1549P Zonrox Colorsafe Bleach Blossom Fresh 3600mL x1",370,3,pc,10.00,case,non_food
295,FE192P,FE192P,"FE192P Trash Can with Small Cover x1",1169,1,pc,88.00,pc,non_food
296,P0416P,4893050000000,"P0416P Chips Ahoy Cookies 142.5g x1",,,,,pc,food
297,P0890P,4800250000000,"P0890P Highlands Corned Beef 180g x1",,,,,pc,food
298,SS0053P,4800360000000,"SS0053P Nestea Lemon 250g",,,,,pc,food
299,1432P,1432P,"1432P Calypso Plastic 16' x 24' x .0011 PP x1",,,,,pc,food
300,P1000P,7622210000000,"P1000P Eden Cheese Sulit Pack 45g x1",,,,,pc,food
301,SS1359P,4807770000000,"SS1359P Monde Mamon Mini Classic 23g x8",,,,,pc,food
302,FE062P,86876176421,"FE062P Rubbermaid Mop Squeezer Side Press x1",13,1,pc,1.00,pc,non_food
303,SS1301P,4800360000000,"SS1301P Nestle Fresh Milk 1L x1",,,,,pc,food
304,SS1479P,4800320000000,"SS1479P White Rabbit Butter Toffee Candy 100's x1",,,,,pc,food
305,P2516P,4808680000000,"P2516P Best Foods Mayonaise 80mL x1",,,,,pc,food
306,0463P,0463P,"0463P Ecobag Small Red x1",,,,,pc,food
307,P1084P,75069350120,"P1084P Prem Luncheon Meat 340g x1",,,,,pc,food
308,SS1267P,4800360000000,"SS1267P Milo 24g x12",,,,,pc,food
309,2101P,4800047840012,"2101P Zonrox Bleach Original 1L x1",2166,24,pc,7.00,case,non_food
311,P1376P,8886470000000,"P1376P Pringles Sour Cream & Onion 107g x1",,,,,pc,food
313,SS1665P,4807770000000,"Nissin Butter Coconut 10g x12",,,,,pc,food
314,FE002P,FE002P,"FE002P Dust Pan Black Big x1",1682,1,pc,127.00,pc,non_food
315,04974P,04974P,"04974P Sleeves 12L 33 x 4.25in x1",,,,,pc,food
316,P2287P,800054000000,"P2287P Growers Garlic Flavor Peanuts 30g x1",,,,,pc,food
317,FE049P,FE049P,"FE049P Pail 4 gallon x1",1495,1,pc,113.00,pc,non_food
319,Y0303P,Y0303P,"Y0303P Bonita Ultima 450 Bathroom Tissue Roll 100% Virgin Pulp 3 ply x 150 450 sheets 100mm x 100mm x1",8496,48,pc,14.00,case,non_food
320,SF0111P,SF0111P,"SF0111P Garbage Bag Large Clear 26"" x 32"" x .001 x1",28500,100,pc,22.00,case,non_food
321,P0219P,71287460412,"P0219P Brew Rite Coffee Filter #4 x40",,,,,pc,food
322,P1627P,4800312274146,"P1627P Perwoll Laundry Detergent Liquid 1 Gallon x1",123,4,pc,3.00,case,non_food
323,SS1314P,4806520000000,"SS1314P Goya Milk Chocolate 30g x1",,,,,pc,food
324,P1750P,8992760000000,"P1750P Oreo Vanilla 119.6g x1",,,,,pc,food
325,1499P,1499P,"1499P Unbranded White Sugar Sachet x100",511,50,pc,1.00,case,non_food
326,P0148P,4800040000000,"P0148P Flat Tops x30",,,,,pc,food
327,04973P,04973P,"04973P Sleeves 7L 27.5 x 4.25in x1",,,,,pc,food
328,SS1002P,85000001882,"SS1002P Carlo Rossi Red Wine 750mL",,,,,pc,food
329,P0970P,71615901372,"P0970P Hereford Cooked Ham 454g",,,,,pc,food
330,SS0122P,4800040000000,"SS0122P Ricoa Flat Tops Chocolate x100's",,,,,pc,food
331,FE253P,FE253P,"FE253P Welcome Mat x1",1269,1,pc,96.00,pc,non_food
332,SF0109P,SF0109P,"SF0109P Garbage Bag Small Black 18"" x 18"" x .001 x1",60000,100,pc,45.00,case,non_food
333,TM0101P,TM0101P,"TM0101P Diversey Forward Disinfectant Cleaner 5L x1",57,2,pc,3.00,case,non_food
334,0523P,4800020000000,"0523P Magic Flakes Original 28g x10",,,,,pc,food
335,P1004P,4800250000000,"P1004P Highlands Corned Beef Gold 260g x1",,,,,pc,food
336,P0091P,750515000000,"P0091P SkyFlakes Biscuit Original 25g x24",,,,,pc,food
337,FE224P,FE224P,"FE224P Tong Standard x1",,,,,pc,food
338,P1424P,6914970000000,"P1424P Snickers Chocolate Classic fun size 240g x1",,,,,pc,food
339,P1944P,4806520000000,"P1944P Kettle Corn Salted Caramel 120g x1",,,,,pc,food
340,SS1247P,4800020000000,"SS1247P Swiss Miss Milk Chocolate 260g x1",,,,,pc,food
341,P2037P,4800550000000,"P2037P Chips Delights Chocolate Chip Cookies 80g x1",,,,,pc,food
342,P1540P,4800020000000,"P1540P V Cut Cheese 60g x1",,,,,pc,food
343,P0791P,4800820000000,"P0791P Potchie x50",,,,,pc,food
344,SS0934P,8886470000000,"SS0934P Pringles Cheese 107g x1",,,,,pc,food
345,MH114P,9555222605461,"MH114P Glade Automatic Spray Morning Freshness Refill 175g x1",262,6,pc,4.00,case,non_food
346,FE187P,FE187P,"FE187P Mop Aluminum Handle Plastic Head Green x1",184,1,pc,14.00,pc,non_food
347,2125P,4800047820465,"2125P Green Cross Ethyl Alcohol 70% Solution Gallon x1",129,3,pc,4.00,case,non_food
348,P0195P,4800020000000,"P0195P Del Monte Elbow Macaroni 200g x1",,,,,pc,food
349,0865P,4800020000000,"0865P Nissin Cup Noodles Batchoy Mini 40g x1",,,,,pc,food
350,P1324P,28400020893,"P1324P Ruffles Original 6.5oz x1",,,,,pc,food
351,1587P,4800067600443,"1587P Albatross Strawberry Refill 100g x1",1282,12,pc,9.00,case,non_food
352,Z1035P,19200850896,"Z1035P Lysol Disinfectant Spray for Baby's Room 510g x1",140,12,pc,1.00,case,non_food
353,TM0105P,TM0105P,"TM0105P Diversey Step Off Floor Stripper 5L x1",79,2,pc,3.00,case,non_food
354,MH35P,4801234071943,"MH35P Mr. Muscle All Purpose Cleaner Lemon 500mL x1",781,24,pc,3.00,case,non_food
355,SS1501P,4807770000000,"SS1501P Nissin Eggnog Cookies 18g x10",,,,,pc,food
356,2027P,4809013751888,"2027P Pingcon Hand Sanitizer 70% Apple Punch with Moisturizer Gallon (3.78Liters) x1",171,4,pc,4.00,case,non_food
358,TPSAKURA,TPSAKURA,"TPSAKURA TPSAKURA Bonita Bathroom Tissue Roll Singles 2 ply 300 sheets x1",9530,48,pc,15.00,case,non_food
359,P0194P,76145513,"P0194P Toblerone 50g x1",,,,,pc,food
360,VA002P,4806013230078,"VA002P Glad Aluminum Foil 30cm x 7m x1",561,24,pc,2.00,case,non_food
361,SS1584P,4808650000000,"SS1584P Tang Powder Orange Juice 250g x1",,,,,pc,food
362,P1952P,4806520000000,"P1952P Kettle Korn Butterlicious 120g x1",,,,,pc,food
363,FE136P,4800117120471,"FE136P Wipe Out Dirt and Stain Remover 250g x1",772,24,pc,3.00,case,non_food
364,08124P,08124P,"08124P Garbage Bag XL Yellow PE 30"" x 37"" x .001 x1",16800,100,pc,13.00,case,non_food
365,P1923P,4809010000000,"P1923P Farmboy Sinandomeng Rice 5kg x1",,,,,pc,food
366,08160P,08160P,"08160P Garbage Bag Green XL 30"" x 37"" .001 x1",17000,100,pc,13.00,case,non_food
367,OC0105P,OC0105P,"OC0105P Power Clean Carpet Shampoo Gallon x1",104,4,pc,2.00,case,non_food
368,OC0102P,OC0102P,"OC0102P Power Clean Wax Stripper Supreme Gallon x1",116,4,pc,3.00,case,non_food
369,SS0149P,4800360000000,"SS0149P Milo 300g x1",,,,,pc,food
370,P1649P,6914970000000,"P1649P M&M Milk Chocolate Funsize175.5g x1",,,,,pc,food
372,1468P,4800067600344,"1468P Albatross Jasmine Refill 100g x1",1183,12,pc,8.00,case,non_food
373,MH129P,9555222606741,"MH129P Mr. Muscle Fresh Discs Starter Lavender 38g x1",440,1,,33.00,pc,non_food
374,GR103P,GR103P,"GR103P 3M Polishing Pad 16"" White x1",157,5,pc,3.00,case,non_food
375,FE107P,FE107P,"FE107P Complete Wax Generic Gallon x1",78,4,pc,2.00,case,non_food
376,P0824P,4800020000000,"P0824P Mr. Chips 100g x1",,,,,pc,food
377,P0479P,4800020000000,"P0479P Nova Country Cheddar 40g x1",,,,,pc,food
378,Z1017P,9556111408262,"Z1017P Lysol Disinfectant Spray Early Morning Breeze 340g x1",156,12,pc,1.00,case,non_food
379,SF0108P,SF0108P,"SF0108P Garbage Bag Medium Clear 22"" x 24"" x .001 x1",35000,100,pc,27.00,case,non_food
380,TM0108P,TM0108P,"TM0108P Diversey View Quick 5L x1",49,2,pc,2.00,case,non_food
381,P1584P,3179730000000,"P1584P Perrier Sparkling Water 330ml x1",,,,,pc,food
382,P0858P,4809010000000,"P0858P Unbranded Creamer sachet 5g x100",,,,,pc,food
384,P1726P,8000380000000,"P1726P Loacker Napolitaner Minis 200g x1",,,,,pc,food
385,P2427P,,"P2427P Downy Fabric Conditioner Garden Bloom 1.5L x1",180,6,pc,3.00,case,non_food
386,1559P,4800067600061,"1559P Albatross Strawberry Refill 50g x1",1784,12,pc,12.00,case,non_food
387,SS0070P,4803930000000,"SS0070P Gatorade Blue Bolt 500mL x1",,,,,pc,food
388,P1507P,4902430452816,"P1507P Downy Garden Bloom Fabric Conditioner Refill 1.48L x1",182,6,pc,3.00,case,non_food
390,SS0137P,4800020000000,"SS0137P Granny Goose Tortillos Barbeque 160g x1",,,,,pc,food
391,P0302P,4800360000000,"P0302P Nestle Coffeemate Creamer 5g x48",,,,,pc,food
392,04896P,04896P,"04896P Surgitech Surgical Latex Gloves Large x100",,,,,pc,food
393,P1654P,8851020000000,"P1654P Glico Pocky Strawberry 38g x1",,,,,pc,food
394,TM0111P,807174526714,"TM0111P Diversey Good Sense Odor Eliminator Gallon x1",31,2,x1,2.00,case,non_food
395,P0734P,748485000000,"P0734P Century Tuna Flakes in Oil 155g x1",,,,,pc,food
396,MH57P,4801234056711,"MH57P Pledge Furniture Polish Lemon 180ml x1",286,24,pc,1.00,case,non_food
397,2129P,4800047847288,"2129P Zonrox Multi Clean Floral Blast Scent 900ml x1",434,24,pc,2.00,case,non_food
398,Z1034P,9556111996035,"Z1034P Lysol Disinfectant Multi-Action Cleaner Lemon 900ml x1",311,24,pc,1.00,case,non_food
401,1976P,1200110000000,"1976P Ruffles Original 170g x1",,,,,pc,food
402,SS0164P,4800210000000,"SS0164P Mentos Mint x50",,,,,pc,food
403,P1420P,8935000000000,"P1420P Mentos Fruit Bag 50's x1",,,,,pc,food
406,P1745P,74923405273,"P1745P Pik-Nik Original 9oz x1",,,,,pc,food
407,MH86P,4801234071523,"MH86P Mr. Muscle All Purpose Cleaner Fresh Lemon 1L x1",331,12,pc,3.00,case,non_food
408,P0724P,8851020000000,"P0724P Glico Pocky Chocolate 40g x1",,,,,pc,food
409,SS0904P,4800010000000,"SS0904P Absolute Water 500ml x1",,,,,pc,food
410,P0645P,62385061731,"P0645P Tulip Jamonilla 340g x1",,,,,pc,food
411,SS1225P,4808650000000,"SS1225P Tang Powder Pineapple Juice 250g x1",,,,,pc,food
412,FE017P,FE017P,"FE017P Muriatic Acid Gallon x1",296,4,pc,6.00,case,non_food
413,P0082P,4801234074012,"P0082P Mr. Muscle Stick on Toilet Bowl Cleaning Strip Citrus Scent 10g x3",679,24,pc,3.00,case,non_food
414,2076P,4806029930405,"2076P Swakto Concentrated Fabric Conditioner Antibac Gallon x1",173,4,pc,4.00,case,non_food
415,MH119P,,"MH119P Mr. Muscle Glass & Multi-Surface Cleaner Primary Fresh Fragrance 500mL x1",315,24,pc,1.00,case,non_food
416,08117P,08117P,"08117P Garbage Bag XXL Green 37"" x 40"" x .001 x1",10600,100,pc,8.00,case,non_food
417,SS1541P,4800360000000,"SS1541P Nescafe Coffee Classic Refill 46g x1",,,,,pc,food
418,SS0887P,748485000000,"SS0887P Angel Condensada 380mL x1",,,,,pc,food
419,P1594P,8801060000000,"P1594P Lotte Pepero Almond & Choco 32g x1",,,,,pc,food
420,P1469P,9556170000000,"P1469P Lays Stax Original 135g x1",,,,,pc,food
421,P0568P,4800047841408,"P0568P Del Fabric Conditioner 1000mL x1",308,12,pc,2.00,case,non_food
422,1052P,4902430468701,"1052P Joy Dishwashing Liquid Lemon Bottle 780mL x1",248,1,pc,19.00,pc,non_food
424,1385P,4800067600542,"1385P Albatross Lemon with handle 50g x1",1187,12,pc,8.00,case,non_food
425,2086P,,"2086P Rubbing Alcohol Isopropyl Nature Fresh Scent with Moisturizer Gallon x1",163,4,pc,4.00,case,non_food
426,MH05P,4801234140014,"MH05P Glade Scented GEL Lemon 180mL x1",323,24,pc,2.00,case,non_food
427,P2199P,4800580000000,"P2199P Krem Top Coffee Creamer 400g x1",,,,,pc,food
428,GR134P,4800314100344,"GR134P 3M Super Shine 3.8L x1",31,4,pc,1.00,case,non_food
429,SS1233P,4800220000000,"SS1233P Clover Chips Cheese 85g x1",,,,,pc,food
430,P0572P,8000500000000,"P0572P Ferrero Rocher T8 Box 100g x1",,,,,pc,food
431,P1652P,93682961,"P1652P M&M's Milk Chocolate 37g x1",,,,,pc,food
432,BC210P,BC210P,"BC210P Quicktie Garbage Bag Green XL 30"" x 37"" x10",1280,20,pc,5.00,case,non_food
433,P1537P,7622210000000,"P1537P Cadbury Dairy Fruit & Nuts Bar 160g x1",,,,,pc,food
434,P0728P,80001218,"P0728P Loacker Napolitaner Classic 45g x1",,,,,pc,food
435,P1580P,4902430412643,"P1580P Tide Detergent Powder 2.45kg x1",90,4,pc,2.00,case,non_food
436,P0780P,4800047840593,"P0780P Zonrox Floral Scent Gallon x1",335,3,pc,9.00,case,non_food
437,GR132P,GR132P,"GR132P 3M Floor Sealer 3.8L x1",33,4,pc,1.00,case,non_food
438,SS1106P,4800888181640,"SS1106P Surf Detergent Powder Antibacterial 1.1kg x1",391,12,pc,3.00,case,non_food
439,P1936P,6922880000000,"P1936P Skippy Peanut Butter 340g x1",,,,,pc,food
440,Y0326P,Y0326P,"Y0326P Facial Tissue Virgin Pulp 2 ply x 60 pulls 120 sheets x1",3096,72,pc,4.00,case,non_food
441,TM0117P,,"TM0117P Diversey Ecko Screen pack of 2 x1",35,1,pc,3.00,pc,non_food
443,MH115P,,"MH115P Mr. Muscle Stick on Strip Toilet Bowl Cleaning Citrus Scent 10g x1",1500,72,pc,2.00,case,non_food
444,04895P,04895P,"04895P Glomed Gloves Disposable Small x100",115,10,pc,1.00,case,non_food
445,SS1427P,4806520000000,"SS1427P Knick Knacks Milk 21g x1",,,,,pc,food
446,SF0112P,SF0112P,"SF0112P Garbage Bag XL Clear 30"" x 37"" x .0010 x1",12300,100,pc,10.00,case,non_food
447,08106P,08106P,"08106P Garbage Bag Small Clear 18"" x 18"" x .001 x1",28200,100,pc,22.00,case,non_food
448,FE254P,FE254P,"FE254P Tornado Mop x1",100,1,pc,8.00,pc,non_food
449,08112P,08112P,"08112P Garbage Bag XXL Yellow 37"" x 40"" x .001 x1",9200,100,pc,7.00,case,non_food
452,FE025P,FE025P,"FE025P Penguin Steel Wool x16",350,25,pc,2.00,case,non_food
453,SS1219P,4800120000000,"SS1219P Sunflower Butter Cream Original Crackers 25g x10",,,,,pc,food
454,P0593P,4800250000000,"P0593P CDO Luncheon Meat Chinese 165g x1",,,,,pc,food
455,P1298P,4806013250076,"P1298P Pine-Sol Multi-Surface Cleaner & Deodizer Lavander Clean 500mL x1",368,24,pc,2.00,case,non_food
456,P1409P,4800010000000,"P1409P Delimondo Ranch Style Corned Beef 175g x1",,,,,pc,food
457,SS1591P,4800320000000,"SS1591P Vi-Va Caramel Candy 100s x1",,,,,pc,food
458,P1704P,9556000000000,"P1704P KitKat 2F 17g x6",,,,,pc,food
459,Y0325P,Y0325P,"Y0325P Tork Paper Towel Dispenser x1",,,,,pc,food
460,SS0933P,4800020000000,"SS0933P Roller Coaster Cheddar 85g x1",,,,,pc,food
461,0953P,9403150000000,"0953P Palm Corned Beef 326g x1",,,,,pc,food
462,SS1480P,4800190000000,"SS1480P Pillows Chocolate Crackers 38g x1",,,,,pc,food
463,CR0101P,CR0101P,"CR0101P Victor Floor Polisher 16"" x1",,,,,pc,food
464,1471P,4800067600387,"1471P Albatross lemon with holder 100g x1",594,12,pc,4.00,case,non_food
465,P0520P,P0520P,"P0520P Unbranded Brown sugar sachet 5g x100",256,50,pc,1.00,case,non_food
466,FE038P,FE038P,"FE038P Round Rugs Colored x35",523,1,pc,40.00,pc,non_food
467,SS1312P,4800360000000,"SS1312P Nescafe Blend & Brew Original 26g x10",,,,,pc,food
468,P0771P,4800045310296,"P0771P Pride with Antibacterial 1000g x1",411,12,pc,3.00,case,non_food
469,FE185P,FE185P,"FE185P Mop Aluminum Handle Plastic Head Red x1",98,1,pc,8.00,pc,non_food
470,PMS0040400018,GR133P,"GR133P 3M Floor Stripper 3.8L x1",40,3,pc,1.00,case,non_food
471,2025P,2025P,"2025P Cosab Bleach Gallon x1",366,4,pc,7.00,case,non_food
472,SS1245P,4800020000000,"SS1245P Vcut Spicy BBQ 60g x1",,,,,pc,food
473,TM0103P,TM0103P,"TM0103P Diversey Taski Over and Under 5L x1",14,2,pc,1.00,case,non_food
474,P2114P,4800190000000,"P2114P Oishi Bread Pan Toasted Garlic 24g x1",,,,,pc,food
475,FE024P,FE024P,"FE024P Glass Cleaner Gallon x1",185,4,pc,4.00,case,non_food
476,FE166P,FE166P,"FE166P Pranela Blue with edging x1",1511,1,pc,114.00,pc,non_food
477,FE175P,FE175P,"FE175P Saver Paper Plates #9 x25",,,,,pc,food
478,P0725P,8888080000000,"P0725P Meiji Hello Panda Chocolate 35g x1",,,,,pc,food
480,SS0922P,38000138416,"SS0922P Pringles Original 147g x1",,,,,pc,food
481,2016P,2016P,"2016P Liquid Hand Soap Peppermint Gallon x1",203,4,pc,4.00,case,non_food
482,04897P,792536229122,"04897P Glomed Surgical Latex Gloves Medium x100",102,10,pc,1.00,case,non_food
483,04810P,04810P,"04810P Calypso Plastic 12"" x 18"" x .0011 PP x1",,,,,pc,food
485,1046P,9556076012672,"1046P AmbiPur Gel Relaxing Lavender 180g x1",220,1,pc,17.00,pc,non_food
486,P1347P,731126000000,"P1347P Nagaraya Original Cracker Nuts 80g x1",,,,,pc,food
487,P2115P,4800190000000,"P2115P Oishi Bread Pan Buttered Toast 24g x1",,,,,pc,food
488,P1614P,6942840000000,"P1614P Hershey's Creamy Milk with Almonds 40g x1",,,,,pc,food
489,MH32P,4801230000000,"MH32P Pledge Pronto Liquid Wax Natural 1L x1",,,,,pc,food
490,P1642P,4808890000000,"P1642P Purefoods Chinese Style Luncheon Meat 350g x1",,,,,pc,food
491,0532P,4800020000000,"0532P Nissin Cup Noodles Seafood 60g x1",,,,,pc,food
492,SS1483P,8992800000000,"SS1483P Fitbar Tiramisu Cereal Bar 22g x1",,,,,pc,food
494,SS1593P,4803930000000,"SS1593P Mountain Dew in can 320mL x1",,,,,pc,food
495,P2213P,8998670000000,"P2213P Kopiko Brown Coffee 3in1 Twin Pack 53g x5",,,,,pc,food
496,1537P,1537P,"1537P 3M Microfiber Cloth Red x10",46,5,pc,1.00,case,non_food
497,P1599P,8801060000000,"P1599P Lotte Pepero Crunchy 32g x1",,,,,pc,food
498,P0134P,750515000000,"P0134P Fita Crackers 30g x10",,,,,pc,food
499,P1309P,8996000000000,"P1309P Kopiko Brown Coffee 27.5g x10",,,,,pc,food
500,SS1392P,4800090000000,"SS1392P Fudgee Bar Chocolate 40g x10",,,,,pc,food
501,P0109P,4800250000000,"P0109P San Marino Corned Tuna Regular 180g x1",,,,,pc,food
502,P0214P,70177010775,"P0214P Twinings English Breakfast Black Tea 50g x25",,,,,pc,food
503,P2155P,7622300000000,"P2155P Tiger Energy Biscuit 22.8g x10",,,,,pc,food
504,1022P,4902430389570,"1022P Joy Dishwashing Liquid Lemon 20mL x1",6048,1,pc,454.00,pc,non_food
505,SS1645P,4800045310272,"SS1645P Smart Dishwashing Paste 400g Kalamansi with canister x1",699,1,,53.00,pc,non_food
506,P1506P,4902430504560,"P1506P Downy Mystique Fabric Conditioner Refill 1.2L x1",100,1,pc,8.00,pc,non_food
507,P1764P,4800090000000,"P1764P Happy Peanuts Garlic 100g x1",,,,,pc,food
508,GR110P,GR110P,"GR110P Unbranded Floor Pad 20"" Red x 1",60,5,pc,1.00,case,non_food
509,1063P,4902430468756,"1063P Joy Dishwashing Liquid Antibac Refill 540mL x1",195,3,pc,5.00,case,non_food
510,OC0101P,OC0101P,"OC0101P Power Clean Buffable Emulsion Wax Supreme Gallon x1",53,4,pc,1.00,case,non_food
511,1977P,1200110000000,"1977P Lay's Sour Cream and Onion 50g x1",,,,,pc,food
512,SS0955P,4808890000000,"SS0955P Purefoods Corned Beef 210g x1",,,,,pc,food
513,0206P,4809010000000,"0206P Siete Baracos Coffee Espesso Blend 454g x1",,,,,pc,food
514,P0320P,6914970000000,"P0320P Snickers Classic 51g x1",,,,,pc,food
516,FE022P,FE022P,"FE022P Carpet Shampoo Gallon x1",145,4,pc,3.00,case,non_food
517,FE041P,FE041P,"FE041P Pranela Big Blue yard x1",405,1,pc,31.00,pc,non_food
519,0551P,4800888181572,"0551P Surf Powder Kalamansi 1kg x1",300,12,pc,2.00,case,non_food
520,P0911P,6942840000000,"P0911P Hershey's Kisses Milk Chocolate 146g x1",,,,,pc,food
521,P0590P,4800010000000,"P0590P Great Taste Coffee Granules 100g x1",,,,,pc,food
523,P1051P,4800020000000,"P1051P Del Monte Pasta 400g + Del Monte Spaghetti Sweet Style Sauce 500g x1",,,,,pc,food
524,SS1364P,4800090000000,"SS1364P Rebisco Hansel Choco 31g x10",,,,,pc,food
525,04926P,,"04926P Glomed Latex Gloves Black Large x100",90,10,pc,1.00,case,non_food
526,P1858P,P1858P,"P1858P Cleanaide Microfiber Yellow x1",415,1,pc,32.00,pc,non_food
527,GR117P,21200510083,"GR117P 3M Outdoor Gloves pair x1",182,1,pc,14.00,pc,non_food
528,1588P,4800067600764,"1588P Albatross Strawberry with Holder 100g x1",446,12,pc,3.00,case,non_food
529,FE026P,FE026P,"FE026P Unbranded Stripping pad Black 16"" x1",60,5,pc,1.00,case,non_food
531,0558P,4902430093767,"0558P Joy Dishwash Liquid Lemon 250mL x1",358,20,pc,2.00,case,non_food
532,P1561P,9556000000000,"P1561P Kitkat Chunky 38g x1",,,,,pc,food
534,P0891P,8850175010500,"P0891P Glade Scented GEL Ocean Escape 180ml x1",188,6,pc,3.00,case,non_food
535,P0781P,4800888189813,"P0781P Surf Detergent Powder Cherry Blossom 1.1kg x1",259,12,pc,2.00,case,non_food
536,SS1569P,4800820000000,"SS1569P Monami Strawberry & Cream 150g x50",,,,,pc,food
537,SS1125P,4800888112972,"SS1125P Domex Multi-Purpose Cleaner Classic 1L Bottle x1",161,1,pc,13.00,pc,non_food
538,P2413P,,"P2413P Downy Parfum Passion Refill 1.5L x1",91,1,pc,7.00,pc,non_food
539,Z1023P,4801002062906,"Z1023P Lysol Disinfectant Spray Fresh Blossoms 340g x1",62,12,pc,1.00,case,non_food
540,FE279P,FE279P,"FE279P Window Squeegee 15"" x1",48,1,pc,4.00,pc,non_food
541,P0263P,4800090000000,"P0263P Dingdong Mixed Nuts 100g x1",,,,,pc,food
542,MH95P,4801234072216,"MH95P Mr. Muscle Total Kitchen Cleaner Primary 500ml x1",145,24,pc,1.00,case,non_food
543,P1247P,4800020000000,"P1247P Maxx Candy Yellow x50",,,,,pc,food
544,SS0264P,4800020000000,"SS0264P C2 Green Tea Apple Solo 230mL x1",,,,,pc,food
545,1048P,4987176156167,"1048P Joy Dishwashing Liquid Antibac Refill 1Liter x1",93,1,pc,7.00,pc,non_food
546,P1254P,4902430000000,"P1254P Safeguard Liquid Hand Soap 450mL x1",,,,,pc,food
547,SS0088P,4808890000000,"SS0088P Colgate Toothbrush Medium x1",,,,,pc,food
548,P1881P,1200110000000,"P1881P Cheetos Crunchy 95g x1",,,,,pc,food
549,P2254P,4800270000000,"P2254P Quaker Cookies Chocolate Chips 25g x1",,,,,pc,food
550,GR116P,GR116P,"GR116P Unbranded Polishing Pad White 16"" x1",74,5,pc,2.00,case,non_food
552,SS0258P,4800020000000,"SS0258P Nissin Cup Noodles Bulalo Mini 40g x1",,,,,pc,food
553,P0117P,4800020000000,"P0117P Del Monte Fiesta Fruit Cocktail 836g x1",,,,,pc,food
554,P1647P,4808650000000,"P1647P Eden Cheese 160g x1",,,,,pc,food
555,P1471P,4800010000000,"P1471P Cloud 9 Mini 7g x36",,,,,pc,food
557,P1318P,4800360000000,"P1318P Nestle Bear Brand Powdered Milk 320g x1",,,,,pc,food
558,2083P,2083P,"2083P Liquid Detergent Fresh Petal Gallon x1",158,4,pc,3.00,case,non_food
560,SS1079P,4806500000000,"SS1079P Primo Juice Sparkling Red Grape 750ml x1",,,,,pc,food
561,04977P,04977P,"04977P Urinal Screen with Enzyme for Male Urinals Lemon x1",107,1,pc,9.00,pc,non_food
563,SS1667P,4806530000000,"SS1667P Rite 'n Lite Orange in can 250mL x1",,,,,pc,food
564,P1538P,8996000000000,"P1538P Cal Cheese 48g x1",,,,,pc,food
565,1372P,1372P,"1372P Packaging Plastic 3.25 x 3 x 9.75 x 0.0012 PE for BNTY0308 Sulit x1",,,,,pc,food
566,FE189P,FE189P,"FE189P Unbranded Floor Pad Black 20"" x1",48,5,pc,1.00,case,non_food
567,FE243P,FE243P,"FE243P Mop Head Rayon Heavy Duty No. 500 x1",306,1,pc,23.00,pc,non_food
568,SS1181P,8996000000000,"SS1181P Kopiko Blanca Coffee 3in1 30g x1",,,,,pc,food
571,SS1571P,7622300000000,"SS1571P Tang Powdered Juice Orange 19g x1",,,,,pc,food
573,SS1185P,4800067601860,"SS1185P Gleam Liquid Sosa 1L x1",127,12,pc,1.00,case,non_food
575,08119P,08119P,"08119P Garbage Bag Medium Yellow 22"" x 24"" x .001 x1",11800,100,pc,9.00,case,non_food
577,SS0222P,4800050000000,"SS0222P Growers Mix Nuts 80g x1",,,,,pc,food
578,P1418P,8720610000000,"P1418P Lipton Green Tea Bags 1.5g x50",,,,,pc,food
579,BC138P,BC138P,"BC138P Non-Bio Ziptie Garbage Bag Black Large 26"" x 32"" x10",1000,50,pc,2.00,case,non_food
580,2106P,4800047820182,"2106P Green Cross Alcohol 70% w/ Moisturizer 500mL x1",287,24,pc,1.00,case,non_food
581,SS1443P,4800360000000,"SS1443P Nestle Bear Brand Milk 135g x1",,,,,pc,food
582,BC187P,BC187P,"BC187P Biodegradable Ziptie Garbage Bag Black XXL 37"" x 40"" x .001 x10",440,20,pc,2.00,case,non_food
583,04978P,04978P,"04978P Urinal Screen with Enzyme for Male Urinals Strawberry x1",92,1,pc,7.00,pc,non_food
584,0924P,4800360000000,"0924P Nestle All Purpose Cream 250mL x1",,,,,pc,food
585,P0939P,748486000000,"P0939P Argentina Corned Beef 175g x1",,,,,pc,food
586,1538P,1538P,"1538P 3M Microfiber Cloth Yellow x10",32,5,pc,1.00,case,non_food
587,GR105P,GR105P,"GR105P 3M Stripping Pad 16"" Black x1",38,5,pc,1.00,case,non_food
589,SS1224P,34800000000000,"SS1224P Energizer Battery AAA x2",,,,,pc,food
590,FE019P,FE019P,"FE019P Plastic Dipper or tabo x1",1237,1,pc,93.00,pc,non_food
591,SS1216P,4800360000000,"SS1216P Nestle Carnation Condensed Milk 388g x1",,,,,pc,food
