"Serial Number",SKU,EAN,Description,"Sold Qty",Package,"Package Unit","Target Quantity","Main Unit",Category
62,SS1737P,4800190000000,"SS1737P Pillows Chocolate Crackers 150g x1",,,,,pc,food
63,P1250P,4800060000000,"Philips Vienna Sausage 70g x1",,,,,pc,food
64,SS0911P,4800500000000,"SS0911P Hermano Brown Sugar 1kg x1",,,,,pc,food
65,GR101P,GR101P,"GR101P 3M Scotch Brite Scrub Sponge with foam 100mm x 75mm x 30mm x1",16827,24,pc,53.00,case,non_food
66,1430P,1430P,"1430P Storage Box 7L",,,,,pc,food
67,P0188P,4808890000000,"P0188P Purefoods Corned Beef 150g x1",,,,,pc,food
68,1429P,1429P,"1429P Storage Box 12L",,,,,pc,food
69,SF0101P,SF0101P,"SF0101P Garbage Bag XXL Black 37"" x 40"" x .001 x1",137800,100,pc,104.00,case,non_food
70,SS1238P,4801980000000,"SS1238P Coke Light in can 320mL x1",,,,,pc,food
71,MH07P,4801234061517,"MH07P Glade Air Freshener Lemon 320mL x1",2926,12,pc,19.00,case,non_food
72,P0126P,4800888181572,"P0126P Surf Detergent Powder Kalamansi 1.1kg x1",5381,12,pc,34.00,case,non_food
73,SS1241P,4801980000000,"SS1241P Royal Tru-Orange in can 320mL x1",,,,,pc,food
74,08503P,4800500000000,"08503P Hermano Refined Sugar 1 kg x1",,,,,pc,food
75,P0129P,4800250000000,"P0129P Highlands Corned Beef 150g x1",,,,,pc,food
76,P1587P,4800014151240,"P1587P Summit Still Bottled Water 330ml x1",15060,12,pc,95.00,case,non_food
77,P0912P,37600130783,"P0912P Spam Luncheon Meat Original 12oz x1",,,,,pc,food
78,08109P,08109P,"08109P Garbage Bag XXL Clear 37"" x 40"" x .001 x1",115200,100,pc,87.00,case,non_food
79,SS0136P,4800040000000,"SS0136P Fibisco Chocolate Mallows 100g x6",,,,,pc,food
80,SS0120P,4893050000000,"SS0120P Chips Ahoy Original Blue 38g x1",,,,,pc,food
81,SF0105P,SF0105P,"SF0105P Garbage Bag XXL Clear 37"" x 40"" x .001 x1",118300,100,pc,89.00,case,non_food
82,SS1007P,4800580000000,"SS1007P Alaska Condensada 300mL x1",,,,,pc,food
83,P2276P,8801120000000,"P2276P Lotte Foods Luncheon Meat Chicken 340g x1",,,,,pc,food
84,Q0111P,Q0111P,"Q0111P Pingcon JRT 180m MG x1",9840,12,pc,62.00,case,non_food
86,P0220P,6901670000000,"P0220P Chips Ahoy Cookies 85.5g x1",,,,,pc,food
87,Z1024P,4801002062883,"Z1024P Lysol Disinfectant Spray Fresh Blossoms 510g x1",936,12,pc,6.00,case,non_food
88,FE131P,FE131P,"FE131P Mop Aluminum Handle Plastic Head Blue x1",1214,1,pc,92.00,pc,non_food
89,P0656P,4800010000000,"P0656P Delimondo Ranch Style Corned Beef 260g x1",,,,,pc,food
90,04824P,04824P,"04824P Basket Type D Large (with Varnish)",,,,,pc,food
91,0342P,0342P,"0342P Hand Roll Tissue VP 180m x1",2418,6,pc,31.00,case,non_food
92,P1054P,96619107971,"P1054P Kirkland Signature All Chocolate Bag Variety Pack 2.55kg x1",,,,,pc,food
93,MH16P,4801234108229,"MH16P Baygon Multi Insect Killer Waterbased 500mL x1",1239,12,pc,8.00,case,non_food
94,P1257P,P1257P,"P1257P Box x1",,,,,pc,food
