SKU,Description,Unit,Week 1 Qty,Week 2 Qty,Week 3 Qty,Week 4 Qty,Total Qty
FE002P,Dust Pan Black (Big),pcs,0,0,0,57,57
FE004P,Mop Head Rayon,pc,0,25,0,0,25
FE015P,Rubber Gloves/pair,pairs,0,0,85,0,85
FE017P,Muriatic Acid 1gallon,pc,0,0,0,75,75
FE018P,Toilet Bowl Cleaner 1gallon,pc,0,0,190,0,190
FE020P,Toilet Pump small,pcs,0,0,0,9,9
FE021P,Spray Gun 500ml NOTE: Spray Gun Head - Blue,pc,0,500,0,0,500
FE022P,Carpet Shampoo per Gallon x1,pc,0,35,0,0,35
FE024P,Glass Cleaner 1gallon,pc,0,0,45,0,45
FE025P,Steelwool Penguin x 16,pc,0,30,0,0,30
FE027P,Mop Head 450g,pc,0,0,45,0,45
FE030P,Cotton Duster,pcs,0,23,0,0,23
FE035P,Spatula #3 (Putty Knife),pcs,0,0,16,0,16
FE038P,Round Rugs Colored 36's,pc,0,0,0,71,71
FE039P,Soft Broom Makapal,pcs,0,0,0,65,65
FE041P,Pranela per yard,PC,65,0,0,0,65
FE043P,Feather Duster,pcs,0,0,0,3,3
FE044P,Trash Bin (Ordinary),pc,0,5,0,0,5
FE046P,Knitted Gloves,pcs,0,0,0,67,67
FE049P,Pail (4gallons capacity),pcs,0,0,0,6,6
FE051P,Toilet Brush w/plastic handle,pc,0,8,0,0,8
FE052P,Liquid Declogger Gallon x4,pcs,10,0,0,0,10
FE059P,Disposable Plastic Gloves 100's,pc,0,21,0,0,21
FE088P,Degreaser 1gallon,pc,0,0,22,0,22
FE090P,Wax stripper 1gallon,pc,0,0,0,10,10
FE099P,"Window Squeegee 12""",pcs,0,40,0,0,40
FE107P,Complete Wax Generic gallon x1,pcs,0,0,20,0,20
FE135P,Chamois with case x 1,pc,0,0,0,3,3
FE136P,Wipe Out Dirt and Stain Remover 250g x 1,pcs,0,0,0,240,240
FE141P,Oblong doormats,pc,0,23,0,0,23
FE145P,Air Freshener Strawberry Scent Gallon x1,pcs,0,16,0,0,16
FE155P,Toilet pump big,pc,0,8,0,0,8
FE157P,Plastic Coffee Stirrer 1000's,pc,0,0,0,11,11
FE159P,Styro Cups Coffee Express 8oz x25,pcs,0,0,0,22.5,22.5
FE160P,Dust Mop Head x 1,pc,0,3,0,0,3
FE166P,Pranela Blue with edging,pcs,0,48,0,0,48
FE174P,Spork 25's x 100,case,1,0,0,0,1
FE177P,Air Freshener Lemon Scent Gallon x1,pcs,0,10,0,0,10
FE193P,Rubber Gloves/pair MAKAPAL,pcs,0,0,98,0,98
FE200P,BNW Spoon 25's x 100 pack,packs,0,0,0,56,56
FE201P,BNW Fork 25's x 100 pack,pcs,0,0,0,56,56
FE208P,Pranela Yellow small x 1,pcs,0,8,0,0,8
FE211P,Car Shampoo Gallon x1,pc,0,15,0,0,15
FE215P,Round rugs White 36's,pcs,200,0,0,0,200
FE291P,Diamond Sealer Finish Wax Gallon x1,pcs,0,20,0,0,20
GR101P,3M Scotch Brite Scrub Sponge with foam 100mm x 75mm x 30mm x1,pc,0,0,0,2880,2880
GR102P,3M Scotch Brite Scrubing Pad 4.5 in x 6 in x1,pcs,0,0,0,960,960
GR103P,"3M Polishing Pad 16"" White x1",pcs,0,0,0,25,25
GR133P,3M Floor Stripper 3.8L x1,pcs,0,0,0,2,2
MH05P,Glade Scented GEL Lemon 200mL x 24(change packaging to 180ml)Twin pack,pcs,0,0,120,0,120
